Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
LS,2023-03-10,34790,0,723.0,0.0,25980.0,0,8087.0,0,431221.0,2175699,AF,63,"AF,LS","(20.0171109, 103.378253)"
LR,2023-03-10,8090,0,295.0,0.0,7783.0,0,12.0,2,139824.0,5305117,AF,656,"AF,LR","(5.7499721, -9.3658524)"
LY,2023-03-10,507187,0,6437.0,0.0,500737.0,0,13.0,0,2483812.0,7040745,AF,14,"AF,LY","(26.8234472, 18.1236723)"
LT,2023-03-10,1308131,306,9598.0,2.0,1292263.0,416,6270.0,6,10389789.0,2661708,EU,2,"EU,LT","(55.3500003, 23.7499997)"
MG,2023-03-10,67889,0,1423.0,0.0,66445.0,0,21.0,0,526651.0,29178077,AF,430,"AF,MG","(-18.9249604, 46.4416422)"
MW,2023-03-10,88707,0,2686.0,0.0,85583.0,0,438.0,67,624784.0,20180839,AF,227,"AF,MW","(-13.2687204, 33.9301963)"
MY,2023-03-10,5044969,251,36967.0,0.0,4998652.0,197,9350.0,6,68298064.0,33181072,AS,7,"AS,MY","(39.7837304, -100.445882)"
ML,2023-03-10,33064,2,743.0,0.0,32205.0,6,116.0,0,797451.0,21473764,AF,649,"AF,ML","(16.3700359, -2.2900239)"
MR,2023-03-10,63668,0,997.0,0.0,62441.0,0,230.0,0,1009957.0,4901981,AF,77,"AF,MR","(20.2540382, -9.2399263)"
MU,2023-03-10,41769,17,1043.0,0.0,40052.0,22,674.0,0,358675.0,1274727,AF,31,"AF,MU","(-20.2759451, 57.5703566)"
MX,2023-03-10,7483444,3809,333188.0,18.0,6718939.0,2322,431317.0,0,19642771.0,131562772,NA,18,"NA,MX","(23.6585116, -102.0077097)"
MD,2023-03-10,611140,0,12003.0,0.0,504142.0,0,94995.0,49,3216305.0,4013171,EU,7,"EU,MD","(39.5162401, -76.9382069)"
MN,2023-03-10,1007900,0,2179.0,0.0,1005717.0,0,4.0,192,4030048.0,3378078,AS,3,"AS,MN","(45.9896587, -94.6113288)"
MA,2023-03-10,1272526,36,16296.0,0.0,1256151.0,0,79.0,3,12995267.0,37772756,AF,30,"AF,MA","(31.1728205, -7.3362482)"
MZ,2023-03-10,233214,0,2242.0,0.0,228805.0,0,2167.0,11,1371127.0,33089461,AF,142,"AF,MZ","(-19.302233, 34.9144977)"
MM,2023-03-10,633954,4,19490.0,0.0,614439.0,13,25.0,0,10092618.0,55227143,AS,87,"AS,MM","(17.1750495, 95.9999652)"
