Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
CAR,2023-03-04,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,"44,395",62.0,11.0
CAR,2023-03-05,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,"44,395",62.0,11.0
CAR,2023-03-06,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,Africa,326,"44,395",62.0,11.0
Cambodia,2023-03-02,138719,2,3056.0,0.0,135658.0,1,5.0,0,3091420.0,17168639,Asia,124,"5,618",6.0,0.3
Cambodia,2023-03-03,138719,0,3056.0,0.0,135658.0,0,5.0,0,3091420.0,17168639,Asia,124,"5,618",6.0,0.3
Cambodia,2023-03-04,138719,0,3056.0,0.0,135658.0,1,5.0,0,3091420.0,17168639,Asia,124,"5,618",6.0,0.3
Cambodia,2023-03-05,138719,0,3056.0,0.0,135658.0,0,5.0,0,3091420.0,17168639,Asia,124,"5,618",6.0,0.3
Cambodia,2023-03-06,138719,0,3056.0,0.0,135658.0,0,5.0,0,3091420.0,17168639,Asia,124,"5,618",6.0,0.3
Cameroon,2023-03-02,124392,0,1965.0,0.0,122343.0,0,84.0,13,1751774.0,27911548,Africa,224,"14,204",16.0,3.0
Cameroon,2023-03-03,124392,0,1965.0,0.0,122343.0,0,84.0,13,1751774.0,27911548,Africa,224,"14,204",16.0,3.0
Cameroon,2023-03-04,124392,0,1965.0,0.0,122343.0,0,84.0,13,1751774.0,27911548,Africa,224,"14,204",16.0,3.0
Cameroon,2023-03-05,124392,0,1965.0,0.0,122343.0,0,84.0,13,1751774.0,27911548,Africa,224,"14,204",16.0,3.0
Cameroon,2023-03-06,124392,0,1965.0,0.0,122343.0,0,84.0,13,1751774.0,27911548,Africa,224,"14,204",16.0,3.0
Canada,2023-03-02,4591149,0,51249.0,0.0,4502049.0,1530,37851.0,99,66343123.0,38388419,North America,8,749,1.0,986.0
Canada,2023-03-03,4591149,0,51249.0,0.0,4503585.0,1529,36315.0,99,66343123.0,38388419,North America,8,749,1.0,946.0
Canada,2023-03-04,4591149,0,51249.0,0.0,4505120.0,1530,34780.0,99,66343123.0,38388419,North America,8,749,1.0,906.0
Canada,2023-03-05,4591149,0,51249.0,0.0,4506656.0,1529,33244.0,99,66343123.0,38388419,North America,8,749,1.0,866.0
Canada,2023-03-06,4591149,0,51249.0,0.0,4508191.0,1530,31709.0,99,66343123.0,38388419,North America,8,749,1.0,826.0
Chad,2023-03-02,7678,0,194.0,0.0,4872.0,0,2612.0,0,191341.0,17413580,Africa,"2,268","89,761",91.0,150.0
Chad,2023-03-03,7678,0,194.0,0.0,4872.0,0,2612.0,0,191341.0,17413580,Africa,"2,268","89,761",91.0,150.0
Chad,2023-03-04,7678,0,194.0,0.0,4872.0,0,2612.0,0,191341.0,17413580,Africa,"2,268","89,761",91.0,150.0
Chad,2023-03-05,7678,0,194.0,0.0,4872.0,0,2612.0,0,191341.0,17413580,Africa,"2,268","89,761",91.0,150.0
Chad,2023-03-06,7678,0,194.0,0.0,4872.0,0,2612.0,0,191341.0,17413580,Africa,"2,268","89,761",91.0,150.0
